Sr No,Item No,Unit,Pack Size,Description,Brand,Unit Price Per Case,Unit Price Per Packsize Unit,Category,Max Quantity,Market Price,Market Price Unit
290,2527653,cs,2/5LB,CRANBERRY WHOLE INDIVIDUALLY QUICK FROZEN,SYS IMP,16.06,,,,,
291,9789934,cs,6/49OZ,"PIE APPLE OLD FASHIONED READY-TO-BAKE 10""",SYS IMP,38.18,,,,,
292,862850,cs,160/1.5OZ,BUN BRIOCHE SLIDER SLICED,EUROBKE,35.34,,,,,
293,7029020,cs,1/80 CT,PASTRY MINI EXOTIC ASSORTED,GNCH316,81.06,,,,,
294,7029023,cs,1/80 EA,PASTRY MINI AMERICAN ASSORTED,GNCH316,85.18,,,,,
295,9442138,cs,6/2.5 LB,SOYBEAN WHOLE EDAMAME SHELLED,SIMPLOT,29.63,,,,,
296,398604,cs,6/32 OZ,"BREAD WHITE LOAF SPLIT TOP .563""",BBRLCLS,22.03,,,,,
297,2500827,cs,8/32 OZ,"BREAD RYE CARAWAY DELI .625"" SLICE",BBRLCLS,32.28,,,,,
298,3968201,cs,6/36 OZ,BREAD CHALLAH LOAF SLICE 1 INCH,OPELLE,26,,,,,
299,9916750,cs,6/34 OZ,BREAD VIENNA WHEAT BERRY,ROTELLA,34.95,,,,,
300,6292148,cs,6/5 LB,POTATO FRY STEAK SKIN-ON EXTRA LONG RESEALABLE POUCH,SYS IMP,33.51,,,,,
301,8340895,cs,1/100 CT,APPETIZER SCALLOP BACON WRAPPED,HLDY FD,105.3,,,,,
302,2327666,cs,20/12 OZ,DOUGH PASTRY PUFF SHEET,PILLSBY,49.21,,,,,
303,937631,cs,"100/10""",CHURRO PREFRIED MEXICAN PASTRY,CASASOL,40.09,,,,,
304,6415715,cs,4/3 LB,RAVIOLI CHEESE THREE LARGE,JOSEPHS,45.13,,,,,
305,1009703,cs,4/36 CT,BAGEL MINI PLAIN SLICED,LENDERS,26.99,,,,,
306,137190,cs,2/EACH,CAKE CHOCOLATE MOUSSE NO SUGAR ADDED,ANNIPIE,68.5,,,,,
307,2515955,cs,160/2 OZ,DOUGH COOKIE CHOCOLATE CHIP M&M PREFORMED,DAVIDS,49.7,,,,,
308,3933710,cs,107/3 OZ,DOUGH COOKIE CHOCOLATE CHOCOLATE CHUNK,DAVIDS,49.63,,,,,
309,1912153,cs,1/100 CT,APPETIZER BRIE RASPBERRY EN CROUTE,HLDY FD,85.9,,,,,
310,1970793,cs,240/1.1 OZ,CROISSANT BUTTER MINI RAW,BRIDOR,66.61,,,,,
311,7025268,cs,1/48 CT,BAGEL ASSORTED SLICED 3.5 OUNCE,OPELLE,0,,,,,
312,3288877,cs,1/120 CT,DONUT MINI RED VELVET,CDRDONT,24.17,,,,,
313,7464339,cs,1/48 CT,BREAD BRIOCHE BURGER LARGE,TOM CAT,34.04,,,,,
314,513517,cs,1/60 CT,BREAD BUN PRETZEL BURGER,TOM CAT,44.3,,,,,
315,2204790,cs,4/4 LB,CHEESE STICK MOZZARELLA ITALIAN BREADED,SYS IMP,76.63,,,,,
316,7040539,cs,6/24 OZ,BREAD WHITE SOFT SANDWICH GLUTEN FREE,UDISHFD,44.42,,,,,
317,7475858,cs,80/4 OZ,ROLL PRETZEL BAVARIAN GOURMET 4 OUNCE,J&J SNK,52.71,,,,,
318,2496517,cs,20/12 OZ,"BREAD GARLIC LOAF 17 INCH,  SLICED",BKRSCLS,54.44,,,,,
319,676403,cs,2/54 OZ,"PIE MISSISSIPPI MUD 10"" 10-CUT",MIKES,45.01,,,,,
320,4129340,cs,4/5 LB,DIP SPINACH ARTICHOKE,SYS CLS,57.96,,,,,
321,1751213,cs,12/24 CT,POTATO PANCAKE 1.33 OZ,OLDFASH,61.41,,,,,
322,1880905,cs,12/3 LB,OKRA CUT INDIVIDUALLY QUICK FROZEN PACKAGED,SYS IMP,43.02,,,,,
323,5020233,cs,6/5 LB,POTATO TATER BARREL,SYS IMP,33.85,,,,,
324,7285638,cs,4/5 LB,POTATO SKIN BOAT 200 COUNT,SYS IMP,45.22,,,,,
325,1624640,cs,216/1.5 OZ,DOUGH COOKIE SUGAR,BKRSCLS,58.24,,,,,
326,7175391,cs,6/12CT,WRAP TORTILLA WHOLE WHEAT,ALLADN,19.86,,,,,
327,3845433,cs,6/16CT,ROLL HOT DOG FOOT LONG,PANDOSI,38.22,,,,,
328,1357847,cs,6/3 LB,BATTER MUFFIN BANANA NUT,PILLSBY,55.91,,,,,
329,1357854,cs,6/3 LB,BATTER MUFFIN BLUEBERRY,PILLSBY,55.95,,,,,
330,1430842,cs,6/3 LB,BATTER MUFFIN CRANBERRY ORANGE,PILLSBY,55.4,,,,,
331,1551795,cs,6/3 LB,BATTER MUFFIN CHOCOLATE CHOCOLATE CHIP,PILLSBY,63.66,,,,,
332,2579142,cs,18/8 CT,TURNOVER APPLE MINI 1.4 OZ,PEPFARM,51.04,,,,,
333,1617000,cs,12/12 OZ,CAKE POUND,BKRSIMP,33.51,,,,,
334,5049931,cs,2/71 OZ,DESSERT TIRAMISU,SYS SUP,85.87,,,,,
335,6838916,cs,120/1 OZ,APPETIZER POTSTICKER CHICKEN,JDMTCLS,48.71,,,,,
336,1458967,cs,6/3 LB,BATTER MUFFIN LEMON POPPYSEED,PILLSBY,56.59,,,,,
337,5221197,cs,72/2.0 OZ,CROISSANT BUTTER CURVED BAKED,BKRSIMP,54.73,,,,,
338,6849145,cs,72/2.4 OZ,PRETZEL BAVARIAN STICK,SUPRPTZ,30.26,,,,,
339,6919955,cs,1/100CT,APPETIZER BEEF EMPANADA,SYS IMP,66.78,,,,,
340,7626559,cs,40/7 OZ,PRETZEL SOFT BAKED KINGSIZE,SUPRPTZ,35.84,,,,,
341,6996029,cs,1/96 CT,BLINTZ CHEESE CREPE 3 OZ,SYS IMP,88.03,,,,,
342,4020529,cs,1/7.5LB,RUGELACH PASTRY RASP 7.5 LB,OPELLE,44.66,,,,,
343,4020537,cs,1/7.5LB,RUGELACH PASTRY CHOC 7.5 LB,OPELLE,44.66,,,,,
344,6199172,cs,2/16CUT,CAKE COFFEE BLUEBERRY WILD,GRANDPA,49.49,,,,,
345,6199196,cs,2/16CUT,CAKE COFFEE BANANA CHOCOLATE CHIP,GRANDPA,49.4,,,,,
